id,MachineName,Category,EntryType,Message,Source,TimeGenerated,country,regionName,city,zip,timezone,isp,timestamp
97bd8b2039ad4158a01efd9afebac0b9,LAPTOP-1MKMTVPM,Logging/Recovery,Error,"svchost (13360,R,98) TILEREPOSITORYS-1-5-18: Error -1023 occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log. uid=97bd8b20",ESENT,2020-11-14 08:25:14,India,Gujarat,Ahmedabad,380007,Asia/Kolkata,GTPL A. J. Enterprise,2025-11-16T14:36:53.761184
a012f0fe7b70454b891ee38d2e150561,LAPTOP-1MKMTVPM,(0),Information,Successfully scheduled Software Protection service. uid=a012f0fe,Software Protection Platform Service,2020-11-14 08:41:59,India,Gujarat,Ahmedabad,380007,Asia/Kolkata,GTPL A. J. Enterprise,2025-11-16T20:16:09.885804
aad5d8c24d704aa190204404e6ccb4c8,LAPTOP-1MKMTVPM,Logging/Recovery,Error,"svchost (13360,R,98) TILEREPOSITORYS-1-5-18: Error -1023 occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log. uid=aad5d8c2",ESENT,2020-11-14 08:25:14,India,Gujarat,Ahmedabad,380007,Asia/Kolkata,GTPL A. J. Enterprise,2025-11-17T01:43:33.425613
d8f3e1ee7454424094f47c0a63e40674,LAPTOP-1MKMTVPM,(0),Information,Successfully scheduled Software Protection service. uid=d8f3e1ee,Software Protection Platform Service,2020-11-14 08:41:59,India,Gujarat,Ahmedabad,380007,Asia/Kolkata,GTPL A. J. Enterprise,2025-11-16T15:25:24.422350
4b953c6e8cd5451eb975eb7e872ec64b,LAPTOP-1MKMTVPM,Logging/Recovery,Error,"svchost (13360,R,98) TILEREPOSITORYS-1-5-18: Error -1023 occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log. uid=4b953c6e",ESENT,2020-11-14 08:25:14,India,Gujarat,Ahmedabad,380007,Asia/Kolkata,GTPL A. J. Enterprise,2025-11-17T08:55:01.435653
f32efa8fa11e4e8bb9c90a90b84eaf0e,LAPTOP-1MKMTVPM,(0),Information,Successfully scheduled Software Protection service. uid=f32efa8f,Software Protection Platform Service,2020-11-14 08:45:38,India,Gujarat,Ahmedabad,380007,Asia/Kolkata,GTPL A. J. Enterprise,2025-11-17T02:04:08.644889
d4d6e35ea061416aa259fd4ba05ccad7,LAPTOP-1MKMTVPM,(0),Information,Successfully scheduled Software Protection service. uid=d4d6e35e,Software Protection Platform Service,2020-11-14 08:41:59,India,Gujarat,Ahmedabad,380007,Asia/Kolkata,GTPL A. J. Enterprise,2025-11-17T02:13:26.736014
4a5fca13bd1540c69f45fc4bd2848d2c,LAPTOP-1MKMTVPM,(0),Information,Successfully scheduled Software Protection service. uid=4a5fca13,Software Protection Platform Service,2020-11-14 08:45:38,India,Gujarat,Ahmedabad,380007,Asia/Kolkata,GTPL A. J. Enterprise,2025-11-17T07:53:22.579534
619bd5ab13f64caf8b7e320ca1c3191e,LAPTOP-1MKMTVPM,(0),Information,Successfully scheduled Software Protection service. uid=619bd5ab,Software Protection Platform Service,2020-11-14 08:41:59,India,Gujarat,Ahmedabad,380007,Asia/Kolkata,GTPL A. J. Enterprise,2025-11-16T13:07:44.847129
47725828cac744d2a0347bf7a2bde004,LAPTOP-1MKMTVPM,(0),Information,Successfully scheduled Software Protection service. uid=47725828,Software Protection Platform Service,2020-11-14 08:41:59,India,Gujarat,Ahmedabad,380007,Asia/Kolkata,GTPL A. J. Enterprise,2025-11-16T20:22:39.336645
23ae28e5d42341f0909d563577ad6a77,LAPTOP-1MKMTVPM,Logging/Recovery,Error,"svchost (13360,R,98) TILEREPOSITORYS-1-5-18: Error -1023 occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log. uid=23ae28e5",ESENT,2020-11-14 08:25:14,India,Gujarat,Ahmedabad,380007,Asia/Kolkata,GTPL A. J. Enterprise,2025-11-17T03:28:51.655089
